# frame_start frame_end button
600 606 down
640 646 cross
690 696 cross
750 756 down
790 796 cross
840 846 cross
900 906 down
940 946 cross
990 996 cross
1050 1056 down
1090 1096 cross
1140 1146 cross
1200 1206 down
1240 1246 cross
1290 1296 cross
1350 1356 down
1390 1396 cross
1440 1446 cross
1500 1506 down
1540 1546 cross
1590 1596 cross
1650 1656 down
1690 1696 cross
1740 1746 cross
1800 1806 down
1840 1846 cross
1890 1896 cross
1950 1956 down
1990 1996 cross
2040 2046 cross
2100 2106 down
2140 2146 cross
2190 2196 cross
2250 2256 down
2290 2296 cross
2340 2346 cross
2400 2406 down
2440 2446 cross
2490 2496 cross
2550 2556 down
2590 2596 cross
2640 2646 cross
2700 2706 down
2740 2746 cross
2790 2796 cross
2850 2856 down
2890 2896 cross
2940 2946 cross
3000 3006 down
3040 3046 cross
3090 3096 cross
3150 3156 down
3190 3196 cross
3240 3246 cross
3300 3306 down
3340 3346 cross
3390 3396 cross
3450 3456 down
3490 3496 cross
3540 3546 cross
3600 3606 down
3640 3646 cross
3690 3696 cross
3750 3756 down
3790 3796 cross
3840 3846 cross
3900 3906 down
3940 3946 cross
3990 3996 cross
4050 4056 down
4090 4096 cross
4140 4146 cross
4200 4206 down
4240 4246 cross
4290 4296 cross
4350 4356 down
4390 4396 cross
4440 4446 cross
4500 4506 down
4540 4546 cross
4590 4596 cross
4650 4656 down
4690 4696 cross
4740 4746 cross
4800 4806 down
4840 4846 cross
4890 4896 cross
4950 4956 down
4990 4996 cross
5040 5046 cross
5100 5106 down
5140 5146 cross
5190 5196 cross
5250 5256 down
5290 5296 cross
5340 5346 cross
5400 5406 down
5440 5446 cross
5490 5496 cross
5550 5556 down
5590 5596 cross
5640 5646 cross
5700 5706 down
5740 5746 cross
5790 5796 cross
5850 5856 down
5890 5896 cross
5940 5946 cross
6000 6006 down
6040 6046 cross
6090 6096 cross
6150 6156 down
6190 6196 cross
6240 6246 cross
6300 6306 down
6340 6346 cross
6390 6396 cross
6450 6456 down
6490 6496 cross
6540 6546 cross
6600 6606 down
6640 6646 cross
6690 6696 cross
6750 6756 down
6790 6796 cross
6840 6846 cross
6900 6906 down
6940 6946 cross
6990 6996 cross
7050 7056 down
7090 7096 cross
7140 7146 cross
7200 7206 down
7240 7246 cross
7290 7296 cross
7350 7356 down
7390 7396 cross
7440 7446 cross
7500 7506 down
7540 7546 cross
7590 7596 cross
7650 7656 down
7690 7696 cross
7740 7746 cross
7800 7806 down
7840 7846 cross
7890 7896 cross
7950 7956 down
7990 7996 cross
8040 8046 cross
8100 8106 down
8140 8146 cross
8190 8196 cross
8250 8256 down
8290 8296 cross
8340 8346 cross
8400 8406 down
8440 8446 cross
8490 8496 cross
8550 8556 down
8590 8596 cross
8640 8646 cross
8700 8706 down
8740 8746 cross
8790 8796 cross
8850 8856 down
8890 8896 cross
8940 8946 cross
9000 9006 down
9040 9046 cross
9090 9096 cross
9150 9156 down
9190 9196 cross
9240 9246 cross
9300 9306 down
9340 9346 cross
9390 9396 cross
9450 9456 down
9490 9496 cross
9540 9546 cross
9600 9606 down
9640 9646 cross
9690 9696 cross
9750 9756 down
9790 9796 cross
9840 9846 cross
9900 9906 down
9940 9946 cross
9990 9996 cross
10050 10056 down
10090 10096 cross
10140 10146 cross
10200 10206 down
10240 10246 cross
10290 10296 cross
10350 10356 down
10390 10396 cross
10440 10446 cross
10500 10506 down
10540 10546 cross
10590 10596 cross
10650 10656 down
10690 10696 cross
10740 10746 cross
10800 10806 down
10840 10846 cross
10890 10896 cross
10950 10956 down
10990 10996 cross
11040 11046 cross
11100 11106 down
11140 11146 cross
11190 11196 cross
11250 11256 down
11290 11296 cross
11340 11346 cross
11400 11406 down
11440 11446 cross
11490 11496 cross
11550 11556 down
11590 11596 cross
11640 11646 cross
11700 11706 down
11740 11746 cross
11790 11796 cross
11850 11856 down
11890 11896 cross
11940 11946 cross
12000 12006 down
12040 12046 cross
12090 12096 cross
12150 12156 down
12190 12196 cross
12240 12246 cross
12300 12306 down
12340 12346 cross
12390 12396 cross
12450 12456 down
12490 12496 cross
12540 12546 cross
12600 12606 down
12640 12646 cross
12690 12696 cross
12750 12756 down
12790 12796 cross
12840 12846 cross
12900 12906 down
12940 12946 cross
12990 12996 cross
13050 13056 down
13090 13096 cross
13140 13146 cross
13200 13206 down
13240 13246 cross
13290 13296 cross
13350 13356 down
13390 13396 cross
13440 13446 cross
13500 13506 down
13540 13546 cross
13590 13596 cross
13650 13656 down
13690 13696 cross
13740 13746 cross
13800 13806 down
13840 13846 cross
13890 13896 cross
13950 13956 down
13990 13996 cross
14040 14046 cross
14100 14106 down
14140 14146 cross
14190 14196 cross
14250 14256 down
14290 14296 cross
14340 14346 cross
14400 14406 down
14440 14446 cross
14490 14496 cross
14550 14556 down
14590 14596 cross
14640 14646 cross
14700 14706 down
14740 14746 cross
14790 14796 cross
14850 14856 down
14890 14896 cross
14940 14946 cross
15000 15006 down
15040 15046 cross
15090 15096 cross
15150 15156 down
15190 15196 cross
15240 15246 cross
15300 15306 down
15340 15346 cross
15390 15396 cross
15450 15456 down
15490 15496 cross
15540 15546 cross
15600 15606 down
15640 15646 cross
15690 15696 cross
15750 15756 down
15790 15796 cross
15840 15846 cross
15900 15906 down
15940 15946 cross
15990 15996 cross
16050 16056 down
16090 16096 cross
16140 16146 cross
16200 16206 down
16240 16246 cross
16290 16296 cross
16350 16356 down
16390 16396 cross
16440 16446 cross
16500 16506 down
16540 16546 cross
16590 16596 cross
16650 16656 down
16690 16696 cross
16740 16746 cross
16800 16806 down
16840 16846 cross
16890 16896 cross
16950 16956 down
16990 16996 cross
17040 17046 cross
17100 17106 down
17140 17146 cross
17190 17196 cross
17250 17256 down
17290 17296 cross
17340 17346 cross
17400 17406 down
17440 17446 cross
17490 17496 cross
17550 17556 down
17590 17596 cross
17640 17646 cross
17700 17706 down
17740 17746 cross
17790 17796 cross
17850 17856 down
17890 17896 cross
17940 17946 cross
18000 18006 down
18040 18046 cross
18090 18096 cross
18150 18156 down
18190 18196 cross
